product_id,date,cloud_cover,band,url
LE07_L1GT_026039_20181118_20181216_01_T2,2018-11-18,22,B1,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1GT_026039_20181118_20181216_01_T2/LE07_L1GT_026039_20181118_20181216_01_T2_B1.TIF
LE07_L1GT_026039_20181118_20181216_01_T2,2018-11-18,22,B2,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1GT_026039_20181118_20181216_01_T2/LE07_L1GT_026039_20181118_20181216_01_T2_B2.TIF
LE07_L1GT_026039_20181118_20181216_01_T2,2018-11-18,22,B3,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1GT_026039_20181118_20181216_01_T2/LE07_L1GT_026039_20181118_20181216_01_T2_B3.TIF
LE07_L1GT_026039_20181118_20181216_01_T2,2018-11-18,22,B4,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1GT_026039_20181118_20181216_01_T2/LE07_L1GT_026039_20181118_20181216_01_T2_B4.TIF
LE07_L1GT_026039_20181118_20181216_01_T2,2018-11-18,22,B5,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1GT_026039_20181118_20181216_01_T2/LE07_L1GT_026039_20181118_20181216_01_T2_B5.TIF
LE07_L1GT_026039_20181118_20181216_01_T2,2018-11-18,22,B6,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1GT_026039_20181118_20181216_01_T2/LE07_L1GT_026039_20181118_20181216_01_T2_B6.TIF
LE07_L1GT_026039_20181118_20181216_01_T2,2018-11-18,22,B7,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1GT_026039_20181118_20181216_01_T2/LE07_L1GT_026039_20181118_20181216_01_T2_B7.TIF
LE07_L1GT_026039_20181118_20181216_01_T2,2018-11-18,22,B8,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1GT_026039_20181118_20181216_01_T2/LE07_L1GT_026039_20181118_20181216_01_T2_B8.TIF
LE07_L1TP_026039_20181220_20190115_01_T1,2018-12-20,0,B1,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1TP_026039_20181220_20190115_01_T1/LE07_L1TP_026039_20181220_20190115_01_T1_B1.TIF
LE07_L1TP_026039_20181220_20190115_01_T1,2018-12-20,0,B2,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1TP_026039_20181220_20190115_01_T1/LE07_L1TP_026039_20181220_20190115_01_T1_B2.TIF
LE07_L1TP_026039_20181220_20190115_01_T1,2018-12-20,0,B3,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1TP_026039_20181220_20190115_01_T1/LE07_L1TP_026039_20181220_20190115_01_T1_B3.TIF
LE07_L1TP_026039_20181220_20190115_01_T1,2018-12-20,0,B4,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1TP_026039_20181220_20190115_01_T1/LE07_L1TP_026039_20181220_20190115_01_T1_B4.TIF
LE07_L1TP_026039_20181220_20190115_01_T1,2018-12-20,0,B5,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1TP_026039_20181220_20190115_01_T1/LE07_L1TP_026039_20181220_20190115_01_T1_B5.TIF
LE07_L1TP_026039_20181220_20190115_01_T1,2018-12-20,0,B6,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1TP_026039_20181220_20190115_01_T1/LE07_L1TP_026039_20181220_20190115_01_T1_B6.TIF
LE07_L1TP_026039_20181220_20190115_01_T1,2018-12-20,0,B7,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1TP_026039_20181220_20190115_01_T1/LE07_L1TP_026039_20181220_20190115_01_T1_B7.TIF
LE07_L1TP_026039_20181220_20190115_01_T1,2018-12-20,0,B8,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1TP_026039_20181220_20190115_01_T1/LE07_L1TP_026039_20181220_20190115_01_T1_B8.TIF
LE07_L1GT_026039_20181017_20181114_01_T2,2018-10-17,100,B1,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1GT_026039_20181017_20181114_01_T2/LE07_L1GT_026039_20181017_20181114_01_T2_B1.TIF
LE07_L1GT_026039_20181017_20181114_01_T2,2018-10-17,100,B2,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1GT_026039_20181017_20181114_01_T2/LE07_L1GT_026039_20181017_20181114_01_T2_B2.TIF
LE07_L1GT_026039_20181017_20181114_01_T2,2018-10-17,100,B3,https://storage.googleapis.com/gcp-public-data-landsat/LE07/01/026/039/LE07_L1GT_026039_20181017_20181114_01_T2/LE07_L1GT_026039_20181017_20181114_01_T2_B3.TIF
